Name,Average_Score,Average_Rating
Ultrapar Participacoes S.A.,2.6666666666666665,Medium Risk
Union Pacific Corporation,3.8333333333333335,Low Risk
Unisys Corporation,2.0,High Risk
"United Parcel Service, Inc.",4.0,Low Risk
United States Cellular Corporation,2.4,High Risk
United States Steel Corporation,1.8571428571428572,High Risk
UnitedHealth Group Incorporated,4.0,Low Risk
Uniti Group Inc.,1.0,Highest Risk
Universal Corporation,2.8,Medium Risk
"Universal Health Services, Inc.",3.0,Medium Risk
V.F. Corporation,3.0,Medium Risk
Valero Energy Corporation,3.4,Medium Risk
"Valmont Industries, Inc.",3.0,Medium Risk
Valvoline Inc.,2.0,High Risk
Vector Group Ltd.,2.2,High Risk
"VeriSign, Inc.",2.0,High Risk
Verint Systems Inc.,2.0,High Risk
"Verisk Analytics, Inc.",3.0,Medium Risk
Verizon Communications Inc.,3.6666666666666665,Low Risk
Viavi Solutions Inc.,2.0,High Risk
Visa Inc.,4.0,Low Risk
"Vishay Intertechnology, Inc.",2.0,High Risk
Vista Outdoor Inc.,2.0,High Risk
Visteon Corporation,2.0,High Risk
Vodafone Group Plc,3.0,Medium Risk
Vulcan Materials Company,2.25,High Risk
"W&T Offshore, Inc.",1.8571428571428572,High Risk
W.R. Berkley Corporation,3.0,Medium Risk
"WEC Energy Group, Inc.",3.6666666666666665,Low Risk
WPP plc,3.5,Low Risk
Wabash National Corporation,2.0,High Risk
"Walgreens Boots Alliance, Inc.",3.75,Low Risk
Walt Disney Company (The),4.0,Low Risk
"Waste Connections, Inc.",3.0,Medium Risk
"Waste Management, Inc.",3.0,Medium Risk
Western Digital Corporation,2.0,High Risk
Western Union Company (The),3.3333333333333335,Medium Risk
Westinghouse Air Brake Technologies Corporation,2.75,Medium Risk
Westlake Chemical Corporation,3.0,Medium Risk
Westrock Company,3.0,Medium Risk
Weyerhaeuser Company,2.8,Medium Risk
Whirlpool Corporation,3.2,Medium Risk
Whiting Petroleum Corporation,1.5,High Risk
"Williams Companies, Inc. (The)",2.0,High Risk
"Wolverine World Wide, Inc.",2.3333333333333335,High Risk
Xcel Energy Inc.,3.6666666666666665,Low Risk
Xerox Holdings Corporation,2.4,High Risk
Xinyuan Real Estate Co Ltd,2.0,High Risk
Xperi Holding Corporation,2.0,High Risk
Xylem Inc.,3.0,Medium Risk
"YRC Worldwide, Inc.",1.6666666666666667,High Risk
Yamana Gold Inc.,2.5,High Risk
"Yum! Brands, Inc.",3.0,Medium Risk
Zebra Technologies Corporation,2.0,High Risk
Zoetis Inc.,3.0,Medium Risk
eBay Inc.,4.0,Low Risk
